2012013763| 1| | SALA DOS PROFESSORES M09| ROSANE
2010004175| 1| | AEE C05| 
2010004225| -1| | | 
2010004992| 1| | | ROSANE
2010005476| 1| | | ROSANE
2011005453| 1| | | ROSANE
2011005526| 1| | | ROSANE
2012013706| 1| | SALAS DE AULA - NOTEBOOKS| MATHEUS
2013006456| 1| | | ROSANE
2013006457| 1| | | ROSANE
2013006495| -1| | | 
2013006522| 1| | COORDENACAO E AGRO M19| ROSANE
2013006571| 1| | | ROSANE
2013006764| 1| | | ROSANE
2013006862| 1| | | ROSANE
2013006907| 1| | | ROSANE
2013007300| 1| | | ROSANE
2013007301| 1| | | ROSANE
2013007313| 1| | | ROSANE
2013007644| 1| | | ROSANE
2013007662| 1| | | ROSANE
2014009204| 1| | | ROSANE
2015009646| 1| | | ROSANE
2016007087| 1| | | ROSANE
2016007088| 1| | | ROSANE
2016007090| 1| | | ROSANE
2016007091| 1| | | ROSANE
2016007092| 1| | | ROSANE
2016007094| -1| | | 
2016007095| -1| | | 
2016007268| -1| | | 
2016007269| -1| | | 
2016007270| -1| | | 
2016007271| -1| | | 
2016007272| -1| | | 
2016007273| -1| | | 
2016007274| -1| | | 
2016007275| -1| | | 
2016007276| -1| | | 
2016007277| -1| | | 
2016007278| -1| | | 
2010003832| 1| | | TIAGOECARLOS
2010004190| 1| | | TIAGOECARLOS
2010004201| 1| | | TIAGOECARLOS
2010004202| 1| | | TIAGOECARLOS
2010004209| 1| | | TIAGOECARLOS
2010004212| 1| | | TIAGOECARLOS
2010004362| 1| | | TIAGOECARLOS
2010004758| 1| | | TIAGOECARLOS
2010004923| 1| | RECEPCAO BLOCO PEDAGOGICO| TIAGOECARLOS
2010004953| 1| | | TIAGOECARLOS
2010004958| 1| | | TIAGOECARLOS
2010004974| 1| | | TIAGOECARLOS
2010004975| 1| | | TIAGOECARLOS
2010004987| 1| | | TIAGOECARLOS
2010004989| 1| | | TIAGOECARLOS
2010005001| 1| | | TIAGOECARLOS
2010005007| 1| | | TIAGOECARLOS
2010005018| 1| | | TIAGOECARLOS
2010005020| 1| | | TIAGOECARLOS
2010005222| 3| INFORMADO QUE NAO FUNCIONA E NAO ESTA SENDO USADO| | TIAGOECARLOS
2010005410| 1| | | TIAGOECARLOS
2011003244| 1| | | TIAGOECARLOS
2011003298| 1| | | TIAGOECARLOS
2011003755| 1| | | TIAGOECARLOS
2011004505| 1| | | TIAGOECARLOS
2011005167| 1| | | TIAGOECARLOS
2011005207| 1| | | TIAGOECARLOS
2011005463| 1| | | TIAGOECARLOS
2011005519| 1| | | TIAGOECARLOS
2011005525| 1| | | TIAGOECARLOS
2012013631| 1| | | TIAGOECARLOS
2012013645| 1| | | TIAGOECARLOS
2012013656| 1| | | TIAGOECARLOS
2012013692| 1| | | TIAGOECARLOS
2012013693| 1| | | TIAGOECARLOS
2012013695| 1| | | TIAGOECARLOS
2012013697| 1| | | TIAGOECARLOS
2012013698| 1| | | TIAGOECARLOS
2013006386| 1| | | TIAGOECARLOS
2013006793| 1| | | TIAGOECARLOS
2013006847| 1| | | TIAGOECARLOS
2013006853| 1| | | TIAGOECARLOS
2013006897| 1| | | TIAGOECARLOS
2013007577| 1| | | TIAGOECARLOS
2013007578| 1| | | TIAGOECARLOS
2013007579| 1| | | TIAGOECARLOS
2013007580| 1| | | TIAGOECARLOS
2014009212| 1| | | TIAGOECARLOS
2015009637| 1| | | TIAGOECARLOS
2015009638| 1| | | TIAGOECARLOS
2015009639| -1| | | TIAGOECARLOS
2015009650| 1| | | TIAGOECARLOS
2010003993| 1| | CAE - C04| 
2010004199| 1| | CAE COORDENACAO| 
2010004200| 1| | CAE COORDENACAO| 
2010004206| 1| | CAE COORDENACAO| 
2010004207| 1| | | 
2010004213| -1| | | 
2011003696| 1| | CAE - C04| 
2011003750| 1| | CAE COORDENACAO| 
2011003790| 1| | CAE - C04| 
2011003751| -1| | | 
2011003857| 1| | | 
2011004927| 1| | | 
2011003761| -1| | | 
2011005339| 1| | | 
2011005418| 1| | | 
2011003763| -1| | | 
2011005529| 1| | | 
2012013615| 1| | | 
2012013689| 1| | CAE - C04| 
2013006452| 1| | CAE - C04| 
2010003682| 1| | LABORATORIO MICROSCOPIA| 
2010003717| -1| | | 
2013006588| 1| | | 
2013006609| 1| | | 
2010003970| -1| | | 
2013006788| 1| | CAE - C04| 
2013006789| 1| | CAE - C04| 
2010004192| -1| | | 
2013006842| 1| | CAE - C04| 
2013006859| 1| | CAE - C04| 
2013007575| 1| | CAE - C04| 
2015009593| 1| | CAE - C04| 
2015009633| 1| | CAE - C04| 
2015009642| 1| | CAE - C04| 
2015009648| 1| | CAE - C04| 
2016009326| 1| | | 
2011003819| -1| | | 
2011003860| -1| | | 
2011003861| 1| | CAE COORDENACAO| 
2011004930| -1| | | 
2012013690| -1| | | 
2012013694| -1| | | 
2012013699| -1| | | 
2013006731| -1| | | 
2013006762| -1| | | 
2013006843| -1| | | 
2013006863| 1| | | 
2013006873| 1| | CAE - C04| 
2013006874| 1| | CAE - C04| 
2013006875| 1| | CAE - C04| 
2013006876| 1| | CAE - C04| 
2015009632| 1| | | 
2015009640| 1| | | 
2015009641| 1| | | 
2015009649| 1| | | 
